"分類","標題","指令內容","適用場景 / 效果說明","難度"
"📊 學習與知識摘要","核心概念卡","請將 [主題] 的 5 個核心概念整理成資訊卡，包含術語、白話解釋與一個生活實例。","",""
"📊 學習與知識摘要","一分鐘精華卡","摘要這篇文章的 3 個金句與 2 個行動建議，用簡潔的條列式呈現。","",""
"📊 學習與知識摘要","對比差異卡","請製作 [A] 與 [B] 的比較表，針對『效能、成本、易用性』三個維度進行評估。","",""
"📊 學習與知識摘要","歷史時間軸卡","列出 [事件] 的 5 個關鍵轉折點與日期，並標註其歷史意義。","",""
"📊 學習與知識摘要","常見誤區卡","整理關於 [主題] 的 3 個常見錯誤觀念，並給出正確的解釋。","",""
"🛠️ 技術與自動化 (GAS/n8n/Shortcuts)","程式邏輯卡","請用偽代碼 (Pseudocode) 解釋這段 [腳本] 的運行邏輯，並列出 3 個開發時的注意事項。","",""
"🛠️ 技術與自動化 (GAS/n8n/Shortcuts)","工具速查卡","列出 [軟體/工具] 最常用的 10 個快捷鍵與其功能對照表。","",""
"🛠️ 技術與自動化 (GAS/n8n/Shortcuts)","API 調用卡","摘要此 API 文件的 3 個重點：Endpoint、必要參數、回傳格式範例。","",""
"🛠️ 技術與自動化 (GAS/n8n/Shortcuts)","故障排除卡","針對 [錯誤代碼]，提供 3 個最可能的成因與對應的解決步驟。","",""
"🛠️ 技術與自動化 (GAS/n8n/Shortcuts)","工作流清單卡","將此自動化流程拆解為 5 個 SOP 步驟，確保邏輯嚴密無遺漏。","",""
"📈 財經與投資分析","個股體檢卡","分析 [股票代碼] 的近期表現，列出 240MA 趨勢、目前本益比及 2 個潛在風險。","",""
"📈 財經與投資分析","ETF 亮點卡","摘要 [ETF 名稱] 的前三大持股比例、配息月份及選股邏輯。","",""
"📈 財經與投資分析","財報數值卡","從這段財報中提取：營收成長率、毛利率、EPS，並用表格呈現。","",""
"📈 財經與投資分析","市場觀察卡","分析今日 [特定市場] 的走勢，給出 3 個影響市場的主因與 1 個觀察指標。","",""
"🎨 創意與生活應用","日本水彩風格卡","請幫我寫一段 DALL-E 3 指令，描述 [地點/場景]，風格指定為『精緻日本水彩風格、柔和色調、紙張紋理』。","",""
"🎨 創意與生活應用","登山路徑卡","整理 [山名] 的路線資訊：總長、爬升高度、預估時間、交通方式與 3 個必拍景點。","",""
"🎨 創意與生活應用","食譜精華卡","將此料理簡化為：準備材料、3 個關鍵步驟、1 個美味秘訣。","",""
"🎨 創意與生活應用","研習摘要卡","根據這份筆記，列出主講人、3 個核心啟示、及 2 個可延伸研究的方向。","",""
"🎨 創意與生活應用","每日金句卡","隨機提供一個關於 [主題] 的中英文金句，並加上一段 50 字的感悟。","",""
"🎨 創意與生活應用","行程懶人包卡","規劃 [地點] 一日遊：包含早午晚 3 個景點及 1 段最順的路徑說明。","",""
"⭐ 20 大必學黃金 Prompt","角色扮演（Persona）","你是一位資深[職位/專家]，擁有10年以上經驗，用專業但親切的語氣回答。","幾乎所有情境的起手式，提升回答品質","★☆☆"
"⭐ 20 大必學黃金 Prompt","PTCF 黃金公式","角色：資深行銷顧問
任務：幫我寫一篇150字的[主題]社群貼文
背景：目標受眾是25-35歲上班族
格式：先標題 + 正文 + 3個hashtag","官方 Workspace 指南核心框架，產出最穩定","★★☆"
"⭐ 20 大必學黃金 Prompt","步驟式思考（Chain of Thought）","請一步一步思考，列出推理過程，最後才給出最終答案。","數學、邏輯、分析題必用，準確率大幅提升","★★☆"
"⭐ 20 大必學黃金 Prompt","指定輸出格式（Format）","以 Markdown 表格呈現，欄位：項目、優點、缺點、推薦指數（1-10分）","比較、列表、報告最常用","★☆☆"
"⭐ 20 大必學黃金 Prompt","字數 / 長度限制","總長度控制在 200 字以內，用簡潔有力的語言。","社群文、Email、摘要專用","★☆☆"
"⭐ 20 大必學黃金 Prompt","提供範例（Few-shot）","範例1：輸入「早安」→ 輸出「早安！今天心情如何？」
範例2：輸入「晚安」→ 輸出「晚安，祝好夢～」
現在請用相同風格回覆：","模仿語氣、風格、格式最有效","★★☆"
"⭐ 20 大必學黃金 Prompt","禁止事項 / 限制條件","不要使用網路資料、不要虛構事實、只能根據我提供的內容回答。","避免幻覺，醫療/法律題必加","★☆☆"
"⭐ 20 大必學黃金 Prompt","多版本輸出","給我 3 個不同風格的版本：正式版、活潑版、幽默版。","腦力激盪、文案發想超好用","★☆☆"
"⭐ 20 大必學黃金 Prompt","先總結再細說","先用 3 句話總結重點，再逐條詳細說明。","長回答閱讀體驗大幅提升","★☆☆"
"⭐ 20 大必學黃金 Prompt","迭代優化（自我修正）","先給出初稿，然後自己檢查是否有錯誤或改進空間，再給出最終優化版。","寫作、程式碼、企劃書品質翻倍","★★★"
"⭐ 20 大必學黃金 Prompt","上傳檔案分析","請分析我剛上傳的檔案：[檔案名稱]，先總結內容，再列出 5 個關鍵洞察。","Google Drive 整合、報告分析必用","★★☆"
"⭐ 20 大必學黃金 Prompt","表格 / CSV 輸出","以 CSV 格式輸出，第一列為標題：項目,描述,優先級,預估時間","直接貼到 Google Sheets 最方便","★★☆"
"⭐ 20 大必學黃金 Prompt","模擬對話 / 面試練習","模擬一場面試，我是應徵者，你是面試官，請用行為面試題（Behavioral questions）提問，一題一題來。","求職、銷售話術練習神器","★★☆"
"⭐ 20 大必學黃金 Prompt","學習計畫生成","為我製作一份 30 天[技能]學習計畫，每天任務明確、可量化，並在每週結束加小測驗。","語言、證照、健身計畫最常用","★★☆"
"⭐ 20 大必學黃金 Prompt","翻譯 + 語氣調整","將以下英文翻譯成繁體中文，語氣要專業但親切，像職場前輩在教後輩。","中英雙語工作環境必備","★☆☆"
